driverId,driver_name,skill_score,adjusted_talent_score,talent_score,uncertainty_penalty,mean_residual,std_residual,bad_rate,elite_rate,peak_residual,speed_score,peak_score,elite_score,consistency_score,error_score,confidence,confidence_label,races
842,Pierre Gasly,-40.037151702786375,40.037151702786375,46.35294117647059,6.315789473684211,0.14169285,1.2706342,0.06164383561643835,0.0136986301369863,-0.5468136370182037,49.411764705882355,10.588235294117647,1.1764705882352942,84.70588235294117,69.41176470588235,0.5488721804511278,LOW,146
48,Marc Gené,-38.949732620320844,38.949732620320844,49.85882352941176,10.90909090909091,-0.0054478454,0.89861786,0.08823529411764706,0.14705882352941177,-1.0574767351150511,43.529411764705884,65.88235294117646,69.41176470588235,48.23529411764706,34.11764705882353,0.22077922077922077,LOW,34
21,Giancarlo Fisichella,-38.33248385407575,38.33248385407575,43.317647058823525,4.985163204747774,0.1658601,3.0863419,0.12442396313364056,0.0967741935483871,-0.9235129833221436,45.88235294117647,64.70588235294117,61.1764705882353,22.35294117647059,18.823529411764707,0.6439169139465876,MEDIUM,217
849,Nicholas Latifi,-37.77923102201775,37.77923102201775,47.16470588235294,9.385474860335195,0.11022521,1.9394174,0.05084745762711865,0.0847457627118644,-0.9061298489570617,40.0,60.0,55.88235294117647,42.35294117647059,52.94117647058824,0.329608938547486,LOW,59
854,Mick Schumacher,-37.49462915601022,37.49462915601022,47.929411764705875,10.434782608695652,-0.0015799837,0.56044126,0.024390243902439025,0.04878048780487805,-0.5967099666595459,47.05882352941176,34.11764705882353,38.82352941176471,62.35294117647059,57.647058823529406,0.2546583850931677,LOW,41
857,Oscar Piastri,-36.50053475935829,36.50053475935829,46.68235294117647,10.181818181818182,0.016129393,0.69239277,0.022222222222222223,0.022222222222222223,-0.5550625801086425,48.23529411764706,27.058823529411764,23.52941176470588,63.52941176470588,64.70588235294117,0.2727272727272727,LOW,45
844,Charles Leclerc,-35.75145368492225,35.75145368492225,42.188235294117646,6.436781609195402,0.1919885,1.0197395,0.05673758865248227,0.028368794326241134,-0.4526103734970093,37.64705882352941,3.5294117647058822,8.235294117647058,90.58823529411765,71.76470588235294,0.5402298850574713,LOW,141
16,Adrian Sutil,-34.98198681962411,34.98198681962411,41.95294117647059,6.970954356846473,0.17538363,2.7029583,0.12396694214876033,0.09917355371900827,-0.9256436228752136,38.82352941176471,63.52941176470588,62.35294117647059,29.411764705882355,22.35294117647059,0.5020746887966805,LOW,121
6,Kazuki Nakajima,-33.796584440227704,33.796584440227704,44.63529411764706,10.838709677419354,-0.0214062,0.7108447,0.08571428571428572,0.02857142857142857,-0.7107971549034119,44.70588235294118,47.05882352941176,34.11764705882353,54.11764705882353,35.294117647058826,0.22580645161290322,LOW,35
839,Esteban Ocon,-33.707813871817386,33.707813871817386,39.976470588235294,6.26865671641791,0.23839968,1.5127894,0.04054054054054054,0.033783783783783786,-0.4372490137815475,36.470588235294116,1.1764705882352942,9.411764705882353,76.47058823529412,81.17647058823529,0.5522388059701493,LOW,148
32,Christian Klien,-32.22668579626973,32.22668579626973,42.470588235294116,10.24390243902439,0.4554946,4.81957,0.11363636363636363,0.20454545454545456,-1.5255882740020752,28.235294117647058,89.41176470588236,82.35294117647058,15.294117647058824,29.411764705882355,0.2682926829268293,LOW,44
